Date,Total_Confirmed_France,Daily_Confirmed_France,Total_Confirmed_India,Daily_Confirmed_India
2020-01-22 00:00:00+00:00,0,0.0,0,0.0
2020-01-23 00:00:00+00:00,0,0.0,0,0.0
2020-01-24 00:00:00+00:00,2,2.0,0,0.0
2020-01-25 00:00:00+00:00,3,1.0,0,0.0
2020-01-26 00:00:00+00:00,3,0.0,0,0.0
2020-01-27 00:00:00+00:00,3,0.0,0,0.0
2020-01-28 00:00:00+00:00,4,1.0,0,0.0
2020-01-29 00:00:00+00:00,5,1.0,0,0.0
2020-01-30 00:00:00+00:00,5,0.0,1,1.0
2020-01-31 00:00:00+00:00,5,0.0,1,0.0
2020-02-01 00:00:00+00:00,6,1.0,1,0.0
2020-02-02 00:00:00+00:00,6,0.0,2,1.0
2020-02-03 00:00:00+00:00,6,0.0,3,1.0
2020-02-04 00:00:00+00:00,6,0.0,3,0.0
2020-02-05 00:00:00+00:00,6,0.0,3,0.0
2020-02-06 00:00:00+00:00,6,0.0,3,0.0
2020-02-07 00:00:00+00:00,6,0.0,3,0.0
2020-02-08 00:00:00+00:00,11,5.0,3,0.0
2020-02-09 00:00:00+00:00,11,0.0,3,0.0
2020-02-10 00:00:00+00:00,11,0.0,3,0.0
2020-02-11 00:00:00+00:00,11,0.0,3,0.0
2020-02-12 00:00:00+00:00,11,0.0,3,0.0
2020-02-13 00:00:00+00:00,11,0.0,3,0.0
2020-02-14 00:00:00+00:00,11,0.0,3,0.0
2020-02-15 00:00:00+00:00,12,1.0,3,0.0
2020-02-16 00:00:00+00:00,12,0.0,3,0.0
2020-02-17 00:00:00+00:00,12,0.0,3,0.0
2020-02-18 00:00:00+00:00,12,0.0,3,0.0
2020-02-19 00:00:00+00:00,12,0.0,3,0.0
2020-02-20 00:00:00+00:00,12,0.0,3,0.0
2020-02-21 00:00:00+00:00,12,0.0,3,0.0
2020-02-22 00:00:00+00:00,12,0.0,3,0.0
2020-02-23 00:00:00+00:00,12,0.0,3,0.0
2020-02-24 00:00:00+00:00,12,0.0,3,0.0
2020-02-25 00:00:00+00:00,14,2.0,3,0.0
2020-02-26 00:00:00+00:00,18,4.0,3,0.0
2020-02-27 00:00:00+00:00,38,20.0,3,0.0
2020-02-28 00:00:00+00:00,57,19.0,3,0.0
2020-02-29 00:00:00+00:00,100,43.0,3,0.0
2020-03-01 00:00:00+00:00,130,30.0,3,0.0
2020-03-02 00:00:00+00:00,191,61.0,5,2.0
2020-03-03 00:00:00+00:00,212,21.0,5,0.0
2020-03-04 00:00:00+00:00,288,76.0,28,23.0
2020-03-05 00:00:00+00:00,426,138.0,30,2.0
2020-03-06 00:00:00+00:00,616,190.0,31,1.0
2020-03-07 00:00:00+00:00,948,332.0,34,3.0
2020-03-08 00:00:00+00:00,1125,177.0,39,5.0
2020-03-09 00:00:00+00:00,1411,286.0,43,4.0
2020-03-10 00:00:00+00:00,1783,372.0,56,13.0
2020-03-11 00:00:00+00:00,2293,510.0,62,6.0
2020-03-12 00:00:00+00:00,2293,0.0,73,11.0
2020-03-13 00:00:00+00:00,3681,1388.0,82,9.0
2020-03-14 00:00:00+00:00,4496,815.0,102,20.0
2020-03-15 00:00:00+00:00,4532,36.0,113,11.0
2020-03-16 00:00:00+00:00,6683,2151.0,119,6.0
2020-03-17 00:00:00+00:00,7715,1032.0,142,23.0
2020-03-18 00:00:00+00:00,9124,1409.0,156,14.0
2020-03-19 00:00:00+00:00,10970,1846.0,194,38.0
2020-03-20 00:00:00+00:00,12758,1788.0,244,50.0
2020-03-21 00:00:00+00:00,14463,1705.0,330,86.0
2020-03-22 00:00:00+00:00,16758,2295.0,396,66.0
2020-03-23 00:00:00+00:00,20123,3365.0,499,103.0
2020-03-24 00:00:00+00:00,22372,2249.0,536,37.0
2020-03-25 00:00:00+00:00,25334,2962.0,657,121.0
2020-03-26 00:00:00+00:00,29252,3918.0,727,70.0
2020-03-27 00:00:00+00:00,33047,3795.0,887,160.0
2020-03-28 00:00:00+00:00,37692,4645.0,987,100.0
2020-03-29 00:00:00+00:00,40295,2603.0,1024,37.0
2020-03-30 00:00:00+00:00,44649,4354.0,1251,227.0
2020-03-31 00:00:00+00:00,52278,7629.0,1397,146.0
2020-04-01 00:00:00+00:00,57122,4844.0,1998,601.0
2020-04-02 00:00:00+00:00,59228,2106.0,2543,545.0
2020-04-03 00:00:00+00:00,64452,5224.0,2567,24.0
2020-04-04 00:00:00+00:00,47378,-17074.0,3082,515.0
2020-04-05 00:00:00+00:00,48233,855.0,3588,506.0
2020-04-06 00:00:00+00:00,50887,2654.0,4778,1190.0
2020-04-07 00:00:00+00:00,47396,-3491.0,5311,533.0
2020-04-08 00:00:00+00:00,51251,3855.0,5916,605.0
2020-04-09 00:00:00+00:00,55035,3784.0,6725,809.0
2020-04-10 00:00:00+00:00,56600,1565.0,7598,873.0
2020-04-11 00:00:00+00:00,58045,1445.0,8446,848.0
2020-04-12 00:00:00+00:00,108791,50746.0,9205,759.0
