Date,Total_Death_France,Daily_Death_France,Total_Death_India,Daily_Death_India
2020-01-22 00:00:00+00:00,0,0.0,0,0.0
2020-01-23 00:00:00+00:00,0,0.0,0,0.0
2020-01-24 00:00:00+00:00,0,0.0,0,0.0
2020-01-25 00:00:00+00:00,0,0.0,0,0.0
2020-01-26 00:00:00+00:00,0,0.0,0,0.0
2020-01-27 00:00:00+00:00,0,0.0,0,0.0
2020-01-28 00:00:00+00:00,0,0.0,0,0.0
2020-01-29 00:00:00+00:00,0,0.0,0,0.0
2020-01-30 00:00:00+00:00,0,0.0,0,0.0
2020-01-31 00:00:00+00:00,0,0.0,0,0.0
2020-02-01 00:00:00+00:00,0,0.0,0,0.0
2020-02-02 00:00:00+00:00,0,0.0,0,0.0
2020-02-03 00:00:00+00:00,0,0.0,0,0.0
2020-02-04 00:00:00+00:00,0,0.0,0,0.0
2020-02-05 00:00:00+00:00,0,0.0,0,0.0
2020-02-06 00:00:00+00:00,0,0.0,0,0.0
2020-02-07 00:00:00+00:00,0,0.0,0,0.0
2020-02-08 00:00:00+00:00,0,0.0,0,0.0
2020-02-09 00:00:00+00:00,0,0.0,0,0.0
2020-02-10 00:00:00+00:00,0,0.0,0,0.0
2020-02-11 00:00:00+00:00,0,0.0,0,0.0
2020-02-12 00:00:00+00:00,0,0.0,0,0.0
2020-02-13 00:00:00+00:00,0,0.0,0,0.0
2020-02-14 00:00:00+00:00,0,0.0,0,0.0
2020-02-15 00:00:00+00:00,1,1.0,0,0.0
2020-02-16 00:00:00+00:00,1,0.0,0,0.0
2020-02-17 00:00:00+00:00,1,0.0,0,0.0
2020-02-18 00:00:00+00:00,1,0.0,0,0.0
2020-02-19 00:00:00+00:00,1,0.0,0,0.0
2020-02-20 00:00:00+00:00,1,0.0,0,0.0
2020-02-21 00:00:00+00:00,1,0.0,0,0.0
2020-02-22 00:00:00+00:00,1,0.0,0,0.0
2020-02-23 00:00:00+00:00,1,0.0,0,0.0
2020-02-24 00:00:00+00:00,1,0.0,0,0.0
2020-02-25 00:00:00+00:00,1,0.0,0,0.0
2020-02-26 00:00:00+00:00,2,1.0,0,0.0
2020-02-27 00:00:00+00:00,2,0.0,0,0.0
2020-02-28 00:00:00+00:00,2,0.0,0,0.0
2020-02-29 00:00:00+00:00,2,0.0,0,0.0
2020-03-01 00:00:00+00:00,2,0.0,0,0.0
2020-03-02 00:00:00+00:00,3,1.0,0,0.0
2020-03-03 00:00:00+00:00,4,1.0,0,0.0
2020-03-04 00:00:00+00:00,4,0.0,0,0.0
2020-03-05 00:00:00+00:00,7,3.0,0,0.0
2020-03-06 00:00:00+00:00,9,2.0,0,0.0
2020-03-07 00:00:00+00:00,16,7.0,0,0.0
2020-03-08 00:00:00+00:00,19,3.0,0,0.0
2020-03-09 00:00:00+00:00,25,6.0,0,0.0
2020-03-10 00:00:00+00:00,33,8.0,0,0.0
2020-03-11 00:00:00+00:00,48,15.0,1,1.0
2020-03-12 00:00:00+00:00,48,0.0,1,0.0
2020-03-13 00:00:00+00:00,79,31.0,2,1.0
2020-03-14 00:00:00+00:00,91,12.0,2,0.0
2020-03-15 00:00:00+00:00,91,0.0,2,0.0
2020-03-16 00:00:00+00:00,149,58.0,2,0.0
2020-03-17 00:00:00+00:00,149,0.0,3,1.0
2020-03-18 00:00:00+00:00,149,0.0,3,0.0
2020-03-19 00:00:00+00:00,244,95.0,4,1.0
2020-03-20 00:00:00+00:00,451,207.0,5,1.0
2020-03-21 00:00:00+00:00,563,112.0,4,-1.0
2020-03-22 00:00:00+00:00,676,113.0,7,3.0
2020-03-23 00:00:00+00:00,862,186.0,10,3.0
2020-03-24 00:00:00+00:00,1102,240.0,10,0.0
2020-03-25 00:00:00+00:00,1333,231.0,12,2.0
2020-03-26 00:00:00+00:00,1697,364.0,20,8.0
2020-03-27 00:00:00+00:00,1996,299.0,20,0.0
2020-03-28 00:00:00+00:00,2314,318.0,24,4.0
2020-03-29 00:00:00+00:00,2608,294.0,27,3.0
2020-03-30 00:00:00+00:00,3026,418.0,32,5.0
2020-03-31 00:00:00+00:00,3526,500.0,35,3.0
2020-04-01 00:00:00+00:00,4778,1252.0,58,23.0
2020-04-02 00:00:00+00:00,5387,609.0,72,14.0
2020-04-03 00:00:00+00:00,6509,1122.0,72,0.0
2020-04-04 00:00:00+00:00,7562,1053.0,86,14.0
2020-04-05 00:00:00+00:00,8081,519.0,99,13.0
2020-04-06 00:00:00+00:00,8914,833.0,136,37.0
2020-04-07 00:00:00+00:00,10330,1416.0,150,14.0
2020-04-08 00:00:00+00:00,10874,544.0,178,28.0
2020-04-09 00:00:00+00:00,12214,1340.0,226,48.0
2020-04-10 00:00:00+00:00,13199,985.0,246,20.0
2020-04-11 00:00:00+00:00,13835,636.0,288,42.0
2020-04-12 00:00:00+00:00,14396,561.0,331,43.0
2020-04-13 00:00:00+00:00,14969,573.0,358,27.0
2020-04-14 00:00:00+00:00,15712,743.0,393,35.0
