Date,Total_Recovered_France,Daily_Recovered_France,Total_Recovered_India,Daily_Recovered_India
2020-01-22 00:00:00+00:00,0,0.0,0,0.0
2020-01-23 00:00:00+00:00,0,0.0,0,0.0
2020-01-24 00:00:00+00:00,0,0.0,0,0.0
2020-01-25 00:00:00+00:00,0,0.0,0,0.0
2020-01-26 00:00:00+00:00,0,0.0,0,0.0
2020-01-27 00:00:00+00:00,0,0.0,0,0.0
2020-01-28 00:00:00+00:00,0,0.0,0,0.0
2020-01-29 00:00:00+00:00,0,0.0,0,0.0
2020-01-30 00:00:00+00:00,0,0.0,0,0.0
2020-01-31 00:00:00+00:00,0,0.0,0,0.0
2020-02-01 00:00:00+00:00,0,0.0,0,0.0
2020-02-02 00:00:00+00:00,0,0.0,0,0.0
2020-02-03 00:00:00+00:00,0,0.0,0,0.0
2020-02-04 00:00:00+00:00,0,0.0,0,0.0
2020-02-05 00:00:00+00:00,0,0.0,0,0.0
2020-02-06 00:00:00+00:00,0,0.0,0,0.0
2020-02-07 00:00:00+00:00,0,0.0,0,0.0
2020-02-08 00:00:00+00:00,0,0.0,0,0.0
2020-02-09 00:00:00+00:00,0,0.0,0,0.0
2020-02-10 00:00:00+00:00,0,0.0,0,0.0
2020-02-11 00:00:00+00:00,0,0.0,0,0.0
2020-02-12 00:00:00+00:00,2,2.0,0,0.0
2020-02-13 00:00:00+00:00,2,0.0,0,0.0
2020-02-14 00:00:00+00:00,2,0.0,0,0.0
2020-02-15 00:00:00+00:00,4,2.0,0,0.0
2020-02-16 00:00:00+00:00,4,0.0,3,3.0
2020-02-17 00:00:00+00:00,4,0.0,3,0.0
2020-02-18 00:00:00+00:00,4,0.0,3,0.0
2020-02-19 00:00:00+00:00,4,0.0,3,0.0
2020-02-20 00:00:00+00:00,4,0.0,3,0.0
2020-02-21 00:00:00+00:00,4,0.0,3,0.0
2020-02-22 00:00:00+00:00,4,0.0,3,0.0
2020-02-23 00:00:00+00:00,4,0.0,3,0.0
2020-02-24 00:00:00+00:00,4,0.0,3,0.0
2020-02-25 00:00:00+00:00,11,7.0,3,0.0
2020-02-26 00:00:00+00:00,11,0.0,3,0.0
2020-02-27 00:00:00+00:00,11,0.0,3,0.0
2020-02-28 00:00:00+00:00,11,0.0,3,0.0
2020-02-29 00:00:00+00:00,12,1.0,3,0.0
2020-03-01 00:00:00+00:00,12,0.0,3,0.0
2020-03-02 00:00:00+00:00,12,0.0,3,0.0
2020-03-03 00:00:00+00:00,12,0.0,3,0.0
2020-03-04 00:00:00+00:00,12,0.0,3,0.0
2020-03-05 00:00:00+00:00,12,0.0,3,0.0
2020-03-06 00:00:00+00:00,12,0.0,3,0.0
2020-03-07 00:00:00+00:00,12,0.0,3,0.0
2020-03-08 00:00:00+00:00,12,0.0,3,0.0
2020-03-09 00:00:00+00:00,12,0.0,3,0.0
2020-03-10 00:00:00+00:00,12,0.0,4,1.0
2020-03-11 00:00:00+00:00,12,0.0,4,0.0
2020-03-12 00:00:00+00:00,12,0.0,4,0.0
2020-03-13 00:00:00+00:00,12,0.0,4,0.0
2020-03-14 00:00:00+00:00,12,0.0,4,0.0
2020-03-15 00:00:00+00:00,12,0.0,13,9.0
2020-03-16 00:00:00+00:00,12,0.0,13,0.0
2020-03-17 00:00:00+00:00,12,0.0,14,1.0
2020-03-18 00:00:00+00:00,12,0.0,14,0.0
2020-03-19 00:00:00+00:00,12,0.0,15,1.0
2020-03-20 00:00:00+00:00,12,0.0,20,5.0
2020-03-21 00:00:00+00:00,12,0.0,23,3.0
2020-03-22 00:00:00+00:00,2206,2194.0,27,4.0
2020-03-23 00:00:00+00:00,2206,0.0,27,0.0
2020-03-24 00:00:00+00:00,3250,1044.0,40,13.0
2020-03-25 00:00:00+00:00,3907,657.0,43,3.0
2020-03-26 00:00:00+00:00,4955,1048.0,45,2.0
2020-03-27 00:00:00+00:00,5707,752.0,73,28.0
2020-03-28 00:00:00+00:00,5724,17.0,84,11.0
2020-03-29 00:00:00+00:00,7226,1502.0,95,11.0
2020-03-30 00:00:00+00:00,7964,738.0,102,7.0
2020-03-31 00:00:00+00:00,9513,1549.0,123,21.0
2020-04-01 00:00:00+00:00,11053,1540.0,148,25.0
2020-04-02 00:00:00+00:00,12548,1495.0,191,43.0
2020-04-03 00:00:00+00:00,14135,1587.0,192,1.0
2020-04-04 00:00:00+00:00,15572,1437.0,229,37.0
2020-04-05 00:00:00+00:00,16349,777.0,229,0.0
2020-04-06 00:00:00+00:00,17428,1079.0,375,146.0
2020-04-07 00:00:00+00:00,19523,2095.0,421,46.0
2020-04-08 00:00:00+00:00,21452,1929.0,506,85.0
2020-04-09 00:00:00+00:00,23413,1961.0,620,114.0
2020-04-10 00:00:00+00:00,25195,1782.0,774,154.0
2020-04-11 00:00:00+00:00,26663,1468.0,969,195.0
2020-04-12 00:00:00+00:00,27469,806.0,1080,111.0
2020-04-13 00:00:00+00:00,28001,532.0,1181,101.0
