Date,Total_Confirmed_France,Daily_Confirmed_France,Total_Confirmed_India,Daily_Confirmed_India,Total_Death_France,Daily_Death_France,Total_Death_India,Daily_Death_India,Total_Recovered_France,Daily_Recovered_France,Total_Recovered_India,Daily_Recovered_India
2020-01-22 00:00:00+00:00,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2020-01-23 00:00:00+00:00,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2020-01-24 00:00:00+00:00,2,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2020-01-25 00:00:00+00:00,3,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2020-01-26 00:00:00+00:00,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2020-01-27 00:00:00+00:00,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2020-01-28 00:00:00+00:00,4,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2020-01-29 00:00:00+00:00,5,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2020-01-30 00:00:00+00:00,5,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0
2020-01-31 00:00:00+00:00,5,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2020-02-01 00:00:00+00:00,6,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2020-02-02 00:00:00+00:00,6,0.0,2,1.0,0,0.0,0,0.0,0,0.0,0,0.0
2020-02-03 00:00:00+00:00,6,0.0,3,1.0,0,0.0,0,0.0,0,0.0,0,0.0
2020-02-04 00:00:00+00:00,6,0.0,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2020-02-05 00:00:00+00:00,6,0.0,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2020-02-06 00:00:00+00:00,6,0.0,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2020-02-07 00:00:00+00:00,6,0.0,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2020-02-08 00:00:00+00:00,11,5.0,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2020-02-09 00:00:00+00:00,11,0.0,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2020-02-10 00:00:00+00:00,11,0.0,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2020-02-11 00:00:00+00:00,11,0.0,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2020-02-12 00:00:00+00:00,11,0.0,3,0.0,0,0.0,0,0.0,2,2.0,0,0.0
2020-02-13 00:00:00+00:00,11,0.0,3,0.0,0,0.0,0,0.0,2,0.0,0,0.0
2020-02-14 00:00:00+00:00,11,0.0,3,0.0,0,0.0,0,0.0,2,0.0,0,0.0
2020-02-15 00:00:00+00:00,12,1.0,3,0.0,1,1.0,0,0.0,4,2.0,0,0.0
2020-02-16 00:00:00+00:00,12,0.0,3,0.0,1,0.0,0,0.0,4,0.0,3,3.0
2020-02-17 00:00:00+00:00,12,0.0,3,0.0,1,0.0,0,0.0,4,0.0,3,0.0
2020-02-18 00:00:00+00:00,12,0.0,3,0.0,1,0.0,0,0.0,4,0.0,3,0.0
2020-02-19 00:00:00+00:00,12,0.0,3,0.0,1,0.0,0,0.0,4,0.0,3,0.0
2020-02-20 00:00:00+00:00,12,0.0,3,0.0,1,0.0,0,0.0,4,0.0,3,0.0
2020-02-21 00:00:00+00:00,12,0.0,3,0.0,1,0.0,0,0.0,4,0.0,3,0.0
2020-02-22 00:00:00+00:00,12,0.0,3,0.0,1,0.0,0,0.0,4,0.0,3,0.0
2020-02-23 00:00:00+00:00,12,0.0,3,0.0,1,0.0,0,0.0,4,0.0,3,0.0
2020-02-24 00:00:00+00:00,12,0.0,3,0.0,1,0.0,0,0.0,4,0.0,3,0.0
2020-02-25 00:00:00+00:00,14,2.0,3,0.0,1,0.0,0,0.0,11,7.0,3,0.0
2020-02-26 00:00:00+00:00,18,4.0,3,0.0,2,1.0,0,0.0,11,0.0,3,0.0
2020-02-27 00:00:00+00:00,38,20.0,3,0.0,2,0.0,0,0.0,11,0.0,3,0.0
2020-02-28 00:00:00+00:00,57,19.0,3,0.0,2,0.0,0,0.0,11,0.0,3,0.0
2020-02-29 00:00:00+00:00,100,43.0,3,0.0,2,0.0,0,0.0,12,1.0,3,0.0
2020-03-01 00:00:00+00:00,130,30.0,3,0.0,2,0.0,0,0.0,12,0.0,3,0.0
2020-03-02 00:00:00+00:00,191,61.0,5,2.0,3,1.0,0,0.0,12,0.0,3,0.0
2020-03-03 00:00:00+00:00,212,21.0,5,0.0,4,1.0,0,0.0,12,0.0,3,0.0
2020-03-04 00:00:00+00:00,288,76.0,28,23.0,4,0.0,0,0.0,12,0.0,3,0.0
2020-03-05 00:00:00+00:00,426,138.0,30,2.0,7,3.0,0,0.0,12,0.0,3,0.0
2020-03-06 00:00:00+00:00,616,190.0,31,1.0,9,2.0,0,0.0,12,0.0,3,0.0
2020-03-07 00:00:00+00:00,948,332.0,34,3.0,16,7.0,0,0.0,12,0.0,3,0.0
2020-03-08 00:00:00+00:00,1125,177.0,39,5.0,19,3.0,0,0.0,12,0.0,3,0.0
2020-03-09 00:00:00+00:00,1411,286.0,43,4.0,25,6.0,0,0.0,12,0.0,3,0.0
2020-03-10 00:00:00+00:00,1783,372.0,56,13.0,33,8.0,0,0.0,12,0.0,4,1.0
2020-03-11 00:00:00+00:00,2293,510.0,62,6.0,48,15.0,1,1.0,12,0.0,4,0.0
2020-03-12 00:00:00+00:00,2293,0.0,73,11.0,48,0.0,1,0.0,12,0.0,4,0.0
2020-03-13 00:00:00+00:00,3681,1388.0,82,9.0,79,31.0,2,1.0,12,0.0,4,0.0
2020-03-14 00:00:00+00:00,4496,815.0,102,20.0,91,12.0,2,0.0,12,0.0,4,0.0
2020-03-15 00:00:00+00:00,4532,36.0,113,11.0,91,0.0,2,0.0,12,0.0,13,9.0
2020-03-16 00:00:00+00:00,6683,2151.0,119,6.0,149,58.0,2,0.0,12,0.0,13,0.0
2020-03-17 00:00:00+00:00,7715,1032.0,142,23.0,149,0.0,3,1.0,12,0.0,14,1.0
2020-03-18 00:00:00+00:00,9124,1409.0,156,14.0,149,0.0,3,0.0,12,0.0,14,0.0
2020-03-19 00:00:00+00:00,10970,1846.0,194,38.0,244,95.0,4,1.0,12,0.0,15,1.0
2020-03-20 00:00:00+00:00,12758,1788.0,244,50.0,451,207.0,5,1.0,12,0.0,20,5.0
2020-03-21 00:00:00+00:00,14463,1705.0,330,86.0,563,112.0,4,-1.0,12,0.0,23,3.0
2020-03-22 00:00:00+00:00,16758,2295.0,396,66.0,676,113.0,7,3.0,2206,2194.0,27,4.0
2020-03-23 00:00:00+00:00,20123,3365.0,499,103.0,862,186.0,10,3.0,2206,0.0,27,0.0
2020-03-24 00:00:00+00:00,22372,2249.0,536,37.0,1102,240.0,10,0.0,3250,1044.0,40,13.0
2020-03-25 00:00:00+00:00,25334,2962.0,657,121.0,1333,231.0,12,2.0,3907,657.0,43,3.0
2020-03-26 00:00:00+00:00,29252,3918.0,727,70.0,1697,364.0,20,8.0,4955,1048.0,45,2.0
2020-03-27 00:00:00+00:00,33047,3795.0,887,160.0,1996,299.0,20,0.0,5707,752.0,73,28.0
