Date,US,Canada,France,India
1/22/2020,1,0,0,0
1/23/2020,1,0,0,0
1/24/2020,2,0,2,0
1/25/2020,2,0,3,0
1/26/2020,5,1,3,0
1/27/2020,5,1,3,0
1/28/2020,5,2,4,0
1/29/2020,6,2,5,0
1/30/2020,6,2,5,1
1/31/2020,8,4,5,1
1/2/2020,8,4,6,1
2/2/2020,8,4,6,2
3/2/2020,11,4,6,3
4/2/2020,11,4,6,3
5/2/2020,11,5,6,3
6/2/2020,12,5,6,3
7/2/2020,12,7,6,3
8/2/2020,12,7,11,3
9/2/2020,12,7,11,3
10/2/2020,12,7,11,3
11/2/2020,13,7,11,3
12/2/2020,13,7,11,3
2/13/2020,14,7,11,3
2/14/2020,14,7,11,3
2/15/2020,14,7,12,3
2/16/2020,14,7,12,3
2/17/2020,14,8,12,3
2/18/2020,14,8,12,3
2/19/2020,14,8,12,3
2/20/2020,14,8,12,3
2/21/2020,16,9,12,3
2/22/2020,16,9,12,3
2/23/2020,16,9,12,3
2/24/2020,16,10,12,3
2/25/2020,16,11,14,3
2/26/2020,16,11,18,3
2/27/2020,17,13,38,3
2/28/2020,17,14,57,3
2/29/2020,25,20,100,3
1/3/2020,32,24,130,3
2/3/2020,55,27,191,5
3/3/2020,74,30,212,5
4/3/2020,107,33,288,28
5/3/2020,184,37,426,30
6/3/2020,237,49,616,31
7/3/2020,403,54,948,34
8/3/2020,519,64,1125,39
9/3/2020,594,77,1411,43
10/3/2020,782,79,1783,56
11/3/2020,1147,108,2293,62
12/3/2020,1586,117,2293,73
3/13/2020,2219,193,3681,82
3/14/2020,2978,198,4496,102
3/15/2020,3212,252,4532,113
3/16/2020,4679,415,6683,119
3/17/2020,6512,478,7715,142
3/18/2020,9169,657,9124,156
3/19/2020,13663,800,10970,194
3/20/2020,20030,943,12758,244
3/21/2020,26025,1277,14463,330
3/22/2020,34898,1469,16758,396
3/23/2020,46136,2088,20123,499
3/24/2020,56755,2790,22372,536
3/25/2020,68837,3251,25334,657
3/26/2020,86693,4042,29252,727
3/27/2020,105383,4682,33047,887
3/28/2020,125013,5576,37692,987
3/29/2020,143912,6280,40295,1024
3/30/2020,165987,7398,44649,1251
3/31/2020,192301,8527,52278,1397
1/4/2020,224560,9560,57122,1998
2/4/2020,256792,11284,59228,2543
3/4/2020,289087,12437,64452,2567
4/4/2020,321477,12978,47378,3082
5/4/2020,351354,15756,48233,3588
6/4/2020,382747,16563,50887,4778
7/4/2020,413516,17872,47396,5311
8/4/2020,444731,19141,51251,5916
9/4/2020,480667,20654,55035,6725
10/4/2020,515081,22059,56600,7598
11/4/2020,544183,23316,58045,8446
12/4/2020,571440,24299,108791,9205
4/13/2020,598380,25680,111932,10453
4/14/2020,627205,27035,129380,11487
4/15/2020,652611,28209,132588,12322
4/16/2020,682626,30809,145166,13430
4/17/2020,715656,32814,147057,14352
4/18/2020,743588,34356,150863,15722
4/19/2020,769684,35633,151955,17615
4/20/2020,799512,37658,154402,18539
4/21/2020,825429,39402,157068,20080
4/22/2020,854288,41663,158868,21370
4/23/2020,887858,43299,157158,23077
4/24/2020,920185,44919,159969,24530
4/25/2020,950581,46371,161647,26283
4/26/2020,977082,48033,162280,27890
4/27/2020,1000785,49616,165966,29451
4/28/2020,1025362,51150,169098,31324
4/29/2020,1051800,52865,167643,33062
4/30/2020,1081020,54457,168861,34863
1/5/2020,1115946,56343,169387,37257
2/5/2020,1143296,57926,170179,39699
3/5/2020,1167593,60504,170540,42505
4/5/2020,1191678,61957,171102,46437
5/5/2020,1216209,63215,172219,49400
6/5/2020,1240769,64694,176355,52987
7/5/2020,1268180,66201,177096,56351
8/5/2020,1295019,67674,177627,59695
9/5/2020,1320155,68918,178156,62808
10/5/2020,1339022,70091,178405,67161
11/5/2020,1358293,71264,178719,70768
12/5/2020,1381241,72419,179472,74292
5/13/2020,1401649,73568,179993,78055
5/14/2020,1428467,74781,180635,81997
5/15/2020,1453214,75959,181148,85784
5/16/2020,1477373,77206,181563,90648
5/17/2020,1495736,78332,181703,95698
5/18/2020,1518126,79411,182147,100328
5/19/2020,1539133,80493,182648,106475
5/20/2020,1561830,81575,183130,112028
5/21/2020,1587596,82742,183397,118226
5/22/2020,1611253,83947,184153,124794
5/23/2020,1632364,85151,184699,131423
5/24/2020,1652431,86106,184260,138536
5/25/2020,1671104,87119,184585,144950
5/26/2020,1690754,88090,184840,150793
5/27/2020,1709303,88989,185012,158086
5/28/2020,1731625,89976,188355,165386
5/29/2020,1756098,90909,188949,173491
5/30/2020,1779731,91681,190744,181827
5/31/2020,1798718,92479,190975,190609
1/6/2020,1816154,93288,191382,198370
2/6/2020,1837656,93960,190735,207191
3/6/2020,1857511,94641,187509,216824
4/6/2020,1879150,95269,191869,226713
5/6/2020,1904550,95947,192450,236184
6/6/2020,1925710,96475,193022,246622
7/6/2020,1943626,97178,193363,257486
8/6/2020,1961263,97779,193637,265928
9/6/2020,1979647,98241,194190,276146
10/6/2020,2000757,98720,194815,286605
11/6/2020,2023890,99159,195179,297535
12/6/2020,2048756,99595,195981,308993
6/13/2020,2073964,100043,196478,320922
6/14/2020,2092912,100404,196868,332424
6/15/2020,2112731,100763,197004,343091
6/16/2020,2136401,101087,197667,354065
6/17/2020,2163465,101491,198155,366946
6/18/2020,2191991,101877,198741,380532
6/19/2020,2223553,102314,199528,395048
6/20/2020,2255823,102762,200147,410451
6/21/2020,2280971,103078,200490,425282
6/22/2020,2313123,103418,200632,440215
6/23/2020,2350198,103767,201330,456183
6/24/2020,2386074,104087,201598,473105
6/25/2020,2426391,104463,201853,490401
6/26/2020,2472385,104629,203116,508953
6/27/2020,2513731,104878,203564,528859
6/28/2020,2554461,105193,203158,548318
6/29/2020,2595744,105830,203803,566840
6/30/2020,2642174,106097,204244,585481
1/7/2020,2693993,106288,205234,604641
2/7/2020,2750622,106643,205773,625544
3/7/2020,2801983,106962,206312,648315
4/7/2020,2847664,107185,206670,673165
5/7/2020,2898432,107394,206681,697413
6/7/2020,2941517,107815,207699,719664
7/7/2020,3002171,108023,208153,742417
8/7/2020,3062290,108334,208975,767296
9/7/2020,3124786,108656,209419,793802
10/7/2020,3192841,108984,210134,820916
11/7/2020,3252874,109150,210385,849522
12/7/2020,3311312,109348,210401,878254
7/13/2020,3370208,109984,211824,906752
7/14/2020,3438244,110350,211886,936181
7/15/2020,3506364,110693,212613,968857
7/16/2020,3582184,111144,213182,1003832
7/17/2020,3654445,111559,214011,1039084
7/18/2020,3716980,111875,214174,1077781
7/19/2020,3777456,112168,214178,1118206
7/20/2020,3839546,112938,216089,1155338
7/21/2020,3904066,113473,216684,1193078
7/22/2020,3974630,113790,217605,1238798
7/23/2020,4043070,114398,218841,1288108
7/24/2020,4116393,115115,219932,1337024
7/25/2020,4181308,115470,220020,1385635
7/26/2020,4236083,115789,220020,1435616
7/27/2020,4292934,116471,222508,1480073
7/28/2020,4359391,116871,223072,1531669
7/29/2020,4431244,117357,224542,1581963
7/30/2020,4498701,117677,225931,1634746
7/31/2020,4567420,118281,227239,1695988
1/8/2020,4623604,118523,227302,1750723
2/8/2020,4669149,118768,227305,1803695
3/8/2020,4714678,118973,230665,1855745
4/8/2020,4773479,119659,231636,1908254
5/8/2020,4827936,120033,233344,1964536
6/8/2020,4887293,120387,234945,2027074
7/8/2020,4946590,120903,237332,2088611
8/8/2020,5000709,121148,237402,2153010
9/8/2020,5046463,121367,237437,2215074
10/8/2020,5094087,122053,242168,2268675
11/8/2020,5142088,122389,243582,2329638
12/8/2020,5198137,122703,246180,2396637
8/13/2020,5249451,123180,248858,2461190
8/14/2020,5314791,123605,251781,2525922
8/15/2020,5361712,123825,254991,2589952
8/16/2020,5400904,124004,257994,2647663
8/17/2020,5437580,124218,258644,2702681
8/18/2020,5482614,125084,260763,2767253
8/19/2020,5529973,125408,264535,2836925
8/20/2020,5574013,125625,269335,2905825
8/21/2020,5622842,126319,274344,2975701
8/22/2020,5665887,126560,277818,3044940
8/23/2020,5700119,126817,282498,3106348
8/24/2020,5736641,127594,284474,3167323
8/25/2020,5777001,127903,288090,3224547
8/26/2020,5822167,128380,288377,3310234
8/27/2020,5867547,128836,299580,3387500
8/28/2020,5914395,129342,307221,3463972
8/29/2020,5957126,129639,312681,3542733
8/30/2020,5991507,129888,318047,3621245
8/31/2020,6026895,130918,321160,3691166
1/9/2020,6068759,131422,326264,3769523
2/9/2020,6109773,131941,333377,3853406
3/9/2020,6153983,132527,340499,3936747
4/9/2020,6204376,133141,349333,4023179
5/9/2020,6247464,133511,357927,4113811
6/9/2020,6278633,133890,364943,4204613
7/9/2020,6302200,134295,369209,4280422
8/9/2020,6329593,135757,375947,4370128
9/9/2020,6363650,136135,384566,4465863
10/9/2020,6399723,136956,394328,4562414
11/9/2020,6447501,137676,403837,4659984
12/9/2020,6488563,138164,415174,4754356
9/13/2020,6522914,138640,421519,4846427
9/14/2020,6557342,140098,427915,4930236
9/15/2020,6596849,140900,435741,5020359
9/16/2020,6635867,141852,445932,5118253
9/17/2020,6681004,142879,456171,5214677
9/18/2020,6730288,144053,469404,5308014
9/19/2020,6772447,144607,482964,5400619
9/20/2020,6810862,145750,493500,5487580
9/21/2020,6862834,147583,499039,5562663
9/22/2020,6902696,148855,509123,5646010
9/23/2020,6941758,149939,522414,5732518
9/24/2020,6988869,151087,538264,5818570
9/25/2020,7037151,152717,554368,5903932
9/26/2020,7081803,153770,568588,5992532
9/27/2020,7119311,155428,579223,6074702
9/28/2020,7152546,157219,583522,6145291
9/29/2020,7195994,158991,591527,6225763
9/30/2020,7235428,161107,605893,6312584
1/10/2020,7281081,162930,618944,6394068
2/10/2020,7336043,165054,631380,6473544
3/10/2020,7384578,166360,647868,6549373
4/10/2020,7420293,168501,660372,6623815
5/10/2020,7459742,171384,666011,6685082
6/10/2020,7504998,173756,677321,6757131
7/10/2020,7556060,175380,696274,6835655
8/10/2020,7614653,177730,713676,6906151
9/10/2020,7671034,180625,734764,6979423
10/10/2020,7725952,182767,761441,7053806
11/10/2020,7771893,184403,777378,7120538
12/10/2020,7813735,185378,786590,7175880
10/13/2020,7865983,189489,800216,7239389
10/14/2020,7925748,192064,823218,7307097
10/15/2020,7990636,194362,852975,7370468
10/16/2020,8059782,196928,878607,7432680
10/17/2020,8116518,197067,910711,7494551
10/18/2020,8165858,200804,940548,7550273
10/19/2020,8233610,204111,954837,7597063
10/20/2020,8295581,206349,975213,7651107
10/21/2020,8358864,209036,1002635,7706946
10/22/2020,8435164,211617,1043448,7761312
10/23/2020,8517113,214519,1086285,7814682
10/24/2020,8599842,216051,1131550,7864811
10/25/2020,8661982,218874,1138166,7909959
10/26/2020,8729385,222973,1211176,7946429
10/27/2020,8806228,225703,1245658,7990322
10/28/2020,8885632,228366,1283208,8040203
10/29/2020,8976684,231383,1329820,8088851
10/30/2020,9075924,234939,1379294,8137119
